Surveys - Paused On,Survey Tag,Region,Account Type,Clicks_sum,Deliveries_sum,Opens_sum,Time since response,Account logValue,Churn
0,SSS,London,Target,0,0,0,1580,0,0
1,DTS,East Midlands,Target,0,0,0,1580,0,0
1,SSS,Thames Valley,Target,0,0,0,1580,0,0
1,ITS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,851,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,ITS,Northern Ireland,Member,0,0,0,690,8.051697785,0
0,DTS,West Midlands,Target,0,0,0,629,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,ITS,Yorkshire & the Humber,Target,0,0,0,27,0,0
0,ITS,East Midlands,Target,0,0,0,1580,0,1
0,SSS,East of England,Target,0,0,0,97,0,0
0,SSS,North West,Target,0,0,0,60,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,DTS,East Midlands,Target,0,0,0,1580,0,0
0,SSS,East of England,Target,0,0,0,1580,0,0
0,ITS,North West,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,1580,0,0
0,ITS,North West,Target,0,0,0,308,0,0
0,SSS,South West,Target,0,0,0,58,0,0
0,ITS,East Midlands,Target,0,0,0,57,0,0
0,SSS,,Target,0,0,0,29,0,0
0,SSS,London,Target,0,0,0,56,0,0
1,ITS,South West,Member,0,0,0,1580,7.076924049,0
0,SSS,South East,Target,0,0,0,240,0,0
0,SSS,South West,Target,0,0,0,268,0,0
0,SSS,Scotland,Target,0,0,0,980,0,0
0,DTS,Thames Valley,Target,0,0,0,1089,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,DTS,North West,Target,0,0,0,1580,0,0
0,SSS,West Midlands,Target,0,0,0,1580,0,0
1,ITS,Wales,Member,0,0,0,1580,9.633527022,0
0,ITS,East of England,Target,0,0,0,22,0,0
0,FSS,Wales,Target,0,0,0,1580,0,0
1,ITS,Northern Ireland,Target,0,0,0,1580,0,0
0,DTS,East of England,Target,0,0,0,98,0,0
0,ITS,North West,Target,0,0,0,22,0,0
1,SSS,London,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,ITS,East of England,Target,0,0,0,122,0,0
1,SSS,London,Target,0,0,0,1580,0,0
1,ITS,Scotland,Target,0,0,0,1580,0,0
1,SSS,South East,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,554,0,0
1,ITS,North East,Member,0,0,0,1580,8.562497286,0
1,SSS,London,Target,0,0,0,1580,0,0
0,DTS,Scotland,Target,0,0,0,384,0,0
0,ITS,West Midlands,Target,0,0,0,31,0,0
0,SSS,London,Member,0,175,89,1580,11.49158558,0
0,DTS,North West,Target,0,0,0,88,0,0
0,ITS,London,Target,0,0,0,26,0,0
0,FSS,London,Target,0,0,0,637,0,0
1,SSS,Wales,Target,0,0,0,1580,0,0
0,DTS,South East,Target,0,0,0,1580,0,0
0,ITS,North East,Target,0,0,0,1580,0,0
0,FSS,Wales,Member,0,0,0,105,8.145140615,0
1,SSS,Wales,Target,0,0,0,1580,0,0
1,SSS,East of England,Member,0,0,0,1580,10.06576073,0
0,ITS,East of England,Target,0,0,0,1250,0,0
0,FSS,East of England,Target,0,0,0,1580,0,0
0,FSS,South East,Target,0,0,0,790,0,0
0,SSS,London,Target,0,0,0,69,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,1478,0,0
